"A0A126GVC6","S5DU29","0/12"
"A0A126GVC6","B3KY57","0/6"
"A0A126GVC6","B4YBV5","0/7"
"A0A126GVC6","A0A109NRI6","0/6"
"A0A126GVC6","B3VS45","0/4"
"A0A126GVC6","A0A1P8VY24","0/9"
"A0A126GVC6","A0A1B0GW15","0/4"
"A0A126GVC6","A0A0A0MRX4","0/12"
"A0A126GVC6","A0A1S5QR92","0/6"
"A0A126GVC6","F5H052","0/4"
"A0A126GVC6","A0A0E3DCI0","0/6"
"A0A126GVC6","B1AMT0","0/4"
"A0A126GVC6","B4DWT7","0/7"
"S5DU29","B3KY57","0/12"
"S5DU29","B4YBV5","0/13"
"S5DU29","A0A109NRI6","1/11"
"S5DU29","B3VS45","0/10"
"S5DU29","A0A1P8VY24","0/15"
"S5DU29","A0A1B0GW15","0/10"
"S5DU29","A0A0A0MRX4","0/18"
"S5DU29","A0A1S5QR92","1/11"
"S5DU29","F5H052","0/10"
"S5DU29","A0A0E3DCI0","1/11"
"S5DU29","B1AMT0","0/10"
"S5DU29","B4DWT7","0/13"
"B3KY57","B4YBV5","0/7"
"B3KY57","A0A109NRI6","0/6"
"B3KY57","B3VS45","0/4"
"B3KY57","A0A1P8VY24","0/9"
"B3KY57","A0A1B0GW15","0/4"
"B3KY57","A0A0A0MRX4","0/12"
"B3KY57","A0A1S5QR92","0/6"
"B3KY57","F5H052","0/4"
"B3KY57","A0A0E3DCI0","0/6"
"B3KY57","B1AMT0","0/4"
"B3KY57","B4DWT7","0/7"
"B4YBV5","A0A109NRI6","0/7"
"B4YBV5","B3VS45","0/5"
"B4YBV5","A0A1P8VY24","0/10"
"B4YBV5","A0A1B0GW15","0/5"
"B4YBV5","A0A0A0MRX4","0/13"
"B4YBV5","A0A1S5QR92","0/7"
"B4YBV5","F5H052","0/5"
"B4YBV5","A0A0E3DCI0","0/7"
"B4YBV5","B1AMT0","0/5"
"B4YBV5","B4DWT7","0/8"
"A0A109NRI6","B3VS45","0/4"
"A0A109NRI6","A0A1P8VY24","0/9"
"A0A109NRI6","A0A1B0GW15","0/4"
"A0A109NRI6","A0A0A0MRX4","0/12"
"A0A109NRI6","A0A1S5QR92","3/4"
"A0A109NRI6","F5H052","0/4"
"A0A109NRI6","A0A0E3DCI0","3/4"
"A0A109NRI6","B1AMT0","0/4"
"A0A109NRI6","B4DWT7","0/7"
"B3VS45","A0A1P8VY24","0/7"
"B3VS45","A0A1B0GW15","0/2"
"B3VS45","A0A0A0MRX4","0/10"
"B3VS45","A0A1S5QR92","0/4"
"B3VS45","F5H052","0/2"
"B3VS45","A0A0E3DCI0","0/4"
"B3VS45","B1AMT0","0/2"
"B3VS45","B4DWT7","0/5"
"A0A1P8VY24","A0A1B0GW15","0/7"
"A0A1P8VY24","A0A0A0MRX4","0/15"
"A0A1P8VY24","A0A1S5QR92","0/9"
"A0A1P8VY24","F5H052","0/7"
"A0A1P8VY24","A0A0E3DCI0","0/9"
"A0A1P8VY24","B1AMT0","0/7"
"A0A1P8VY24","B4DWT7","0/10"
"A0A1B0GW15","A0A0A0MRX4","0/10"
"A0A1B0GW15","A0A1S5QR92","0/4"
"A0A1B0GW15","F5H052","0/2"
"A0A1B0GW15","A0A0E3DCI0","0/4"
"A0A1B0GW15","B1AMT0","0/2"
"A0A1B0GW15","B4DWT7","0/5"
"A0A0A0MRX4","A0A1S5QR92","0/12"
"A0A0A0MRX4","F5H052","0/10"
"A0A0A0MRX4","A0A0E3DCI0","0/12"
"A0A0A0MRX4","B1AMT0","0/10"
"A0A0A0MRX4","B4DWT7","0/13"
"A0A1S5QR92","F5H052","0/4"
"A0A1S5QR92","A0A0E3DCI0","3/4"
"A0A1S5QR92","B1AMT0","0/4"
"A0A1S5QR92","B4DWT7","0/7"
"F5H052","A0A0E3DCI0","0/4"
"F5H052","B1AMT0","0/2"
"F5H052","B4DWT7","0/5"
"A0A0E3DCI0","B1AMT0","0/4"
"A0A0E3DCI0","B4DWT7","0/7"
"B1AMT0","B4DWT7","0/5"
